name,longitude,latitude,year,base
"Haddadus binotatus (Spix, 1824)",-44.123505,-22.981772,2019,gbif
"Haddadus binotatus (Spix, 1824)",-40.546028,-19.889361,2018,gbif
"Haddadus binotatus (Spix, 1824)",-40.545556,-19.888611,2018,gbif
"Haddadus binotatus (Spix, 1824)",-40.546028,-19.889361,2018,gbif
"Haddadus binotatus (Spix, 1824)",-43.904064,-22.621609,2018,gbif
"Haddadus binotatus (Spix, 1824)",-43.903488,-22.62776,2018,gbif
"Haddadus binotatus (Spix, 1824)",-48.913703,-26.452913,2018,gbif
"Haddadus binotatus (Spix, 1824)",-43.011662,-22.953132,2018,gbif
"Haddadus binotatus (Spix, 1824)",-44.549549,-22.39401,2018,gbif
"Haddadus binotatus (Spix, 1824)",-43.435692,-22.603522,2018,gbif
"Haddadus binotatus (Spix, 1824)",-49.47398,-28.67812,2018,gbif
"Haddadus binotatus (Spix, 1824)",-40.871003,-18.611125,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.871003,-18.611125,2017,gbif
"Haddadus binotatus (Spix, 1824)",-41.0055,-20.655917,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.871003,-18.611125,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.871003,-18.611125,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.871003,-18.611125,2017,gbif
"Haddadus binotatus (Spix, 1824)",-41.0055,-20.655917,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.638333,-20.455556,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.638333,-20.455556,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.57,-20.326389,2017,gbif
"Haddadus binotatus (Spix, 1824)",-44.148056,-23.141111,2017,gbif
"Haddadus binotatus (Spix, 1824)",-41.009589,-20.654036,2017,gbif
"Haddadus binotatus (Spix, 1824)",-44.148056,-23.141111,2017,gbif
"Haddadus binotatus (Spix, 1824)",-41.009589,-20.654036,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.335111,-19.818889,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.335111,-19.818889,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.638333,-20.455556,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.638333,-20.455556,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.5625,-19.9425,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.5625,-19.9425,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.57,-20.326389,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.5625,-19.9425,2017,gbif
"Haddadus binotatus (Spix, 1824)",-40.542222,-19.91,2016,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2015,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.574603,-19.886667,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.563056,-19.855,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.829444,-20.404722,2015,gbif
"Haddadus binotatus (Spix, 1824)",-42.689167,-21.234722,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.563056,-19.855,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.5457,-19.888753,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.563056,-19.855,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.5457,-19.888753,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.5457,-19.888753,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.659361,-20.387167,2015,gbif
"Haddadus binotatus (Spix, 1824)",-40.825694,-20.387167,2015,gbif
"Haddadus binotatus (Spix, 1824)",-42.768,-22.432,2015,gbif
"Haddadus binotatus (Spix, 1824)",-43.411102,-22.563293,2014,gbif
"Haddadus binotatus (Spix, 1824)",-40.574603,-19.886667,2014,gbif
"Haddadus binotatus (Spix, 1824)",-40.574603,-19.886667,2014,gbif
"Haddadus binotatus (Spix, 1824)",-40.574603,-19.886667,2014,gbif
"Haddadus binotatus (Spix, 1824)",-47.478669,-20.6675,2014,gbif
"Haddadus binotatus (Spix, 1824)",-47.4935,-24.373,2014,gbif
"Haddadus binotatus (Spix, 1824)",-47.478669,-20.6675,2014,gbif
"Haddadus binotatus (Spix, 1824)",-47.478669,-20.6675,2014,gbif
"Haddadus binotatus (Spix, 1824)",-47.4935,-24.373,2014,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2014,gbif
"Haddadus binotatus (Spix, 1824)",-43.902691,-22.619074,2014,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2014,gbif
"Haddadus binotatus (Spix, 1824)",-42.095278,-20.499611,2014,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2014,gbif
"Haddadus binotatus (Spix, 1824)",-40.552625,-19.668056,2014,gbif
"Haddadus binotatus (Spix, 1824)",-43.229377,-22.968482,2014,gbif
"Haddadus binotatus (Spix, 1824)",-44.628469,-22.369822,2014,gbif
"Haddadus binotatus (Spix, 1824)",-42.235,-20.60225,2014,gbif
"Haddadus binotatus (Spix, 1824)",-41.121389,-20.541389,2013,gbif
"Haddadus binotatus (Spix, 1824)",-42.85863,-20.802319,2013,gbif
"Haddadus binotatus (Spix, 1824)",-48.89786,-27.096556,2013,gbif
"Haddadus binotatus (Spix, 1824)",-40.540447,-19.965183,2013,gbif
"Haddadus binotatus (Spix, 1824)",-40.556944,-19.929167,2012,gbif
"Haddadus binotatus (Spix, 1824)",-43.646568,-20.299837,2011,gbif
"Haddadus binotatus (Spix, 1824)",-47.869,-24.984,2009,gbif
"Haddadus binotatus (Spix, 1824)",-48.568,-27.339,2009,gbif
"Haddadus binotatus (Spix, 1824)",-43.875,-20.478,2009,gbif
"Haddadus binotatus (Spix, 1824)",-41.023056,-20.401944,2009,gbif
"Haddadus binotatus (Spix, 1824)",-39.844167,-18.355278,2009,gbif
"Haddadus binotatus (Spix, 1824)",-39.844167,-18.355278,2009,gbif
"Haddadus binotatus (Spix, 1824)",-39.844167,-18.355278,2009,gbif
"Haddadus binotatus (Spix, 1824)",-40.526389,-20.042778,2009,gbif
"Haddadus binotatus (Spix, 1824)",-40.52,-19.96,2009,gbif
"Haddadus binotatus (Spix, 1824)",-40.52,-19.96,2009,gbif
"Haddadus binotatus (Spix, 1824)",-41.369,-21.074,2009,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.8,-20.533333,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.8,-20.533333,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.8,-20.533333,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.8,-20.533333,2008,gbif
"Haddadus binotatus (Spix, 1824)",-39.734167,-14.138056,2008,gbif
"Haddadus binotatus (Spix, 1824)",-40.471111,-20.551667,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.471111,-20.551667,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.561,-19.904,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.801667,-20.550833,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.521944,-20.281111,2007,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.363333,-18.126944,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2006,gbif
"Haddadus binotatus (Spix, 1824)",-45.362,-23.863,2006,gbif
"Haddadus binotatus (Spix, 1824)",-47.223,-24.552,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.936389,2006,gbif
"Haddadus binotatus (Spix, 1824)",-45.67,-23.806,2006,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.659167,-20.363333,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2005,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.529722,-20.100556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.746111,-20.040556,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2004,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.466667,-20.266667,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.466667,-20.266667,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2003,gbif
"Haddadus binotatus (Spix, 1824)",-40.42,-20.263889,2002,gbif
"Haddadus binotatus (Spix, 1824)",-40.42,-20.263889,2002,gbif
"Haddadus binotatus (Spix, 1824)",-40.42,-20.263889,2002,gbif
"Haddadus binotatus (Spix, 1824)",-40.42,-20.263889,2002,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2002,gbif
"Haddadus binotatus (Spix, 1824)",-41.366667,-21.065,2002,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.936389,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.645556,-20.805833,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.936389,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.936389,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.406667,-19.9325,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.466667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.416667,-20.266667,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.406667,-19.9325,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.406667,-19.9325,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.406667,-19.9325,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.072222,-19.391111,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2001,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2000,gbif
"Haddadus binotatus (Spix, 1824)",-40.600278,-19.935556,2000,gbif
